date,id,content,username,like count,retweet count
2023-05-18 07:59:11+00:00,1659106342156529665,#Humanity heavy weight #Israel #Palestine,OmarAlHamati,0,0
2023-05-18 07:59:10+00:00,1659106337714761730,"The Act for Palestine Foundation highly supports the decision of Edmilson Rodrigues, Mayor of Belém in Brazil as he declared his city as an Apartheid Free Zone, denouncing Israel's expulsion of Palestinian people from ancestorial lands.
#Palestine https://t.co/kizn7HrcRv",NewsDoP,0,0
2023-05-18 07:54:21+00:00,1659105124764008448,"We will never giveup
✌🏻🇵🇸
#Nakba75 
#Palestine 
@swilkinsonbc @brown60076 https://t.co/4pamp1EKgc",drdarwish1995,0,0
2023-05-18 07:54:02+00:00,1659105048914276354,"Israeli occupation forces prevented Palestinians from entering Al-Aqsa Mosque on Thursday morning, according to Azzam Al-Khatib, the director of the Jerusalem Awqaf and Al-Aqsa Affairs Department.

#JordanNews #Palestine #Jerusalem #alaqsa #Israel
https://t.co/Dq2nISgcLx",jordannewsdaily,0,1
2023-05-18 07:53:50+00:00,1659104997680766980,"Over 500 Israeli settlers invaded #AlAqsaMosque this morning to mark the so-called “Jerusalem Day”.

Palestinian worshippers were forcibly evicted from Al-Aqsa Mosque to make way for the settlers’ invasion. 

#Palestine https://t.co/TremE3w5eP https://t.co/TZFfWBe1KA",GutsyVoice,1,0
2023-05-18 07:52:47+00:00,1659104731942322176,"#Anonymous

I urge forgiveness from people holding onto their anger.
Let's move towards the future. #EndCurrency 
#Worldpeace #peace

#Climate #ClimateChange #BTC #Crypto #USA #Ukraine #Russia #China #France #Paris #India #Japan #Korea #Israel #Palestine #Iran #Mexico #Africa #UN",OpEndCurrency,0,0
2023-05-18 07:48:32+00:00,1659103664374525952,"Israeli occupation forces attack Palestinian women at Bab Al-Silsila in #AlAqsa mosque.
#Jerusalem #Palestine https://t.co/zXHP0LEs93",saidshouib_,9,9
2023-05-18 07:46:55+00:00,1659103255576576000,"@RutyDar @Ostrov_A WTF is a “mandate”??? Another fancy word for OCCUPATION! 
The land is called #Palestine!
And it belongs to #Palestinians!
From River To Sea, Palestine will be Free! #FreePalestine #ApartheidIsrael https://t.co/LHOiDVWMUs",imran_muhaimin,0,0
2023-05-18 07:42:31+00:00,1659102148108378113,"It's hard to believe that a Jewish white man from Ukraine can get what he wants and when he wants to free his land but Palestinian people get a concentration camp and ignored by everyone. Long live the Palestine people. 
#Apartheid #Palestine #IsraeliTerrorism",worldonebeing,0,0
2023-05-18 07:41:43+00:00,1659101945267646466,"86 Palestinians were injured when Israeli army raided Joseph's Tomb area, east of Nablus in occupied West Bank, #Palestine. #JosephsTomb  https://t.co/RcImD68Q5r",ahmedversi,0,0
2023-05-18 07:41:03+00:00,1659101780918120450,Is the Palestine Resistance rendering Israel supremacy useless? #MEMO #Palestine https://t.co/rwGRESlrvC,Eye_On_Gaza,0,0
2023-05-18 07:40:00+00:00,1659101513955028992,"Today! #Sheffield &amp; S Yorks meeting Thurs 18 May 7pm
75 Years After the #Nakba: How Can Palestine Be Free?
Join us on Thursday to look at the history and politics of Israel and ask how can the people of #Palestine find freedom.
Central United Reformed Church, Norfolk St https://t.co/EFWq9UALNT",SWPSheffield,0,0
